codigo;produto;descricao;ficha_tecnica;categoria;subcategoria;atributos tipo;atributos cor;atributo estampa;atributo tamanho;atributo tecido;price;disponibilidade;image_name;slug
BM001;Biquíni Mafe;Conjunto de top com alças reguláveis e fecho nas costas e calcinha lateral média.;TexNeo Digital;Biquíni;Alça Regulável, Calcinha Lateral Média;Estampado;-;Folhas;P, M, G, GG;TexNeo Digital;00.00;indisponivel;;-
BM002;Biquíni Mafe;Conjunto de top com alças reguláveis e fecho nas costas e calcinha lateral média.;TexNeo Poliamida;Biquíni;Alça Regulável, Calcinha Lateral Média;Liso;Fúcsia, Laranja, Preto , Preto Cintilante, Rosa Cintilante, Rosa Pink, Verde;-;P, M, G, GG;TexNeo Poliamida;00.00;indisponivel;;-
BM005;Biquíni Teresa;Conjunto de top cortininha com linha inferior dupla e laços nas alças e calcinha empina bumbum de altura média com largura média da lateral.;TexNeo Digital;Biquíni;Cortininha, Empina Bumbum, Calcinha Lateral Média;Estampado;-;Outono, Poá;P, M, G, GG;TexNeo Digital;73.37;disponivel;bm005_1.jpeg, bm005_2.jpeg, bm005_3.jpeg, bm005_4.jpeg, bm005_5.jpeg;-
BM007;Biquíni Bel;Conjunto de top e calcinha. Top meia taça com detalhe, alças reguláveis e fecho nas costas. Calcinha com recorte transpassado de lateral média.;Texneo Digital;Biquíni;Alça Regulável, Calcinha Lateral Média;Estampado;-;Folhagens, Folhas;P, M, G, GG;Texneo Digital;00.00;indisponivel;;-
BM008;Biquíni Amelie;Conjunto de top e calcinha. Top com laço entre os bojos meia taça com aro para maior sustentação, alças reguláveis e fecho nas costas. Calcinha média com lateral média e drapeada.;Texneo Digital;Biquíni;Alça Regulável, Calcinha Lateral Média;Estampado;-;Folhas;P, M, G, GG;TexNeo Digital;00.00;indisponivel;;-
BM009;Biquíni Carol;Conjunto de top e calcinha. Top meia taça com alças reguláveis com fecho nas costas. Calcinha asa delta com lateral média.;Texneo Digital;Biquíni;Alça Regulável, Asa Delta, Calcinha Lateral Média;Estampado;-;Folhagens, Abstrata;P, M, G, GG;TexNeo Digital;00.00;indisponivel;;-
BM011;Maiô Clara;Maiô regata com regulagem das alças no laço das costas e com profundidade da calcinha regulável pelos laços na lateral com detalhe franzido.;Texneo Digital;Maiô;Lateral regulável;Estampado;-;Tropical;P, M, G, GG;TexNeo Digital;76.63;disponivel;bm011_1.jpeg, bm011_2.jpeg, bm011_3.jpeg, bm011_4.jpeg;-
BM012;Maiô Dora;Maiô com decote cavado até o umbigo e alças de sustentação nas costas que permitem uma abertura lateral e costal profundas.;TexNeo Poliamida;Maiô;Decote lateral;Liso;Preto, Branco;-;P, M, G, GG;TexNeo Poliamida;00.00;indisponivel;;-
BM013;Maiô Dora;Maiô com decote cavado até o umbigo e alças de sustentação nas costas que permitem uma abertura lateral e costal profundas.;TexNeo Digital;Maiô;Decote lateral;Estampado;-;Floral Acqua;P, M, G, GG;TexNeo Digital;83.15;disponivel;bm013_1.jpeg, bm013_2.jpeg, bm013_3.jpeg, bm013_4.jpeg;-
BM014;Biquíni Tassi;Conjunto de top cropped com mangas longas e calcinha de cintura alta com lateral regulável.;TexNeo Digital;Biquíni;Cropped, Hot Pant;Estampado;-;Listras;P, M, G, GG;TexNeo Digital;00.00;indisponivel;-;-
BM015;Shorts Nicky;Shorts soltinho com elástico na cintura trazendo um ar leve e fresco para o verão.;TexNeo Poliamida;Saída de Praia;Shorts;Liso;Preto;-;P, M, G, GG;TexNeo Poliamida;00.00;indisponivel;;-
BM016;Shorts Nicky;Shorts soltinho com elástico na cintura trazendo um ar leve e fresco para o verão.;TexNeo Digital;Saída de Praia;Shorts;Estampado;-;Outono, Tropical, Folhas;P, M, G, GG;TexNeo Digital;39.90;disponivel;bm016_1.jpeg, bm016_2.jpeg, bm016_3.jpeg;-
